Port,Open
22490,10820
1503,10720
1763,10690
32780,10680
32753,10610
4369,10600
5323,10550
11371,10540
11210,10530
13783,10510
27003,10510
427,10480
1550,10480
1220,10450
32763,10450
1688,10440
27010,10420
616,10380
37435,10370
32807,10350
8333,10330
32762,10300
60003,10290
27002,10280
32756,10220
13720,10180
1432,10160
5302,10110
27009,10040
14238,10020
510,9980
524,9940
30444,9940
1039,9920
27005,9910
1762,9870
26214,9810
32782,9760
26470,9740
32754,9710
7461,9700
710,9650
50006,9600
1549,9590
27006,9580
60010,9490
32766,9370
32781,9260
50023,9140
27007,9110
32803,9040
3493,9030
543,9010
50008,9000
60007,8810
1053,8790
60006,8790
32759,8690
32751,8680
32784,8640
32758,8630
543,8600
32760,8520
32761,8480
32783,8380
32750,8370
50007,8250
3892,8160
50021,7980
32771,7970
255,7940
50010,7900
4868,7890
544,7880
50012,7830
50011,7780
50017,7760
32786,7750
60012,7750
6646,7730
3,7700
60020,7670
60025,7670
214,7660
464,7660
35,7620
50009,7590
44,7460
32785,7430
32800,7340
464,7320
60013,7270
50016,7230
9,7160
60024,7160
60011,7110
50014,7100
60015,6970
625,6870
50018,6850
711,6820
50020,6790
60008,6770
50004,6680
50019,6640
41523,6600
135,6580
32789,6580
50024,6570
60017,6570
50013,6530
60018,6530
60016,6510
60014,6490
32788,6420
544,6350
32792,6300
32793,6200
32794,6190
32790,6080
505,6010
32801,5980
34012,5960
782,5860
32791,5770
628,5740
32804,5720
56667,5650
390,5630
32805,5620
32799,5560
55553,5560
32802,5430
33015,5430
1687,5330
32806,5330
731,5210
130,5070
32798,5060
32809,5020
660,4930
32796,4910
32810,4820
706,4780
32808,4780
628,4680
32795,4460
38978,4420
257,3860
